,OBJECTID,ZIP,ZIP_dbl,Weave_Zip_Census_ACS_Total_Popu,Total_Population_2011_2015_ACS,MedHomeSalePrice_2yrAvg_2005_07,MedHomeSalePrice_2yrAvg_2014_16,Chg_MedPrice_2005_07_2014_16,PctChg_MedPrice_2005_07_2014_16,AvgMoRent_2011_through_Nov,AvgMoRent_2016_through_Nov,Change_AvgMoRent_2011_2016,Pct_Change_AvgMoRent_2011_2016,Total_NegEquity_Millions_2015Q1,Total_Homes_NegEquity_2015Q1,Pct_Homes_wMortg_NegEqty_2015Q1,Total_NegEquity_Millions_2015Q2,Total_Homes_NegEquity_2015Q2,Pct_Homes_wMortg_NegEqty_2015Q2,Total_NegEquity_Millions_2016Q1,Total_Homes_NegEquity_2016Q1,Pct_Homes_wMortg_NegEqty_2016Q1,Total_NegEquity_Millions_2016Q3,Total_Homes_NegEquity_2016Q3,Pct_Homes_wMortg_NegEqty_2016Q3,GlobalID,last_edited_date
86,89,30214,30214,28913.0,29637.0,208890.0,160350.0,-48540.0,-0.232,1369.0,1349.0,-21.0,-1.5,-126.8,1740.4,26.7,-112.1,1531.1,23.5,-83.19413883,1075.0,18.0,-66.8,763.0,12.7,{01A02B78-8247-4B8A-AEA7-54EB5C9E6E55},
87,90,30228,30228,38569.0,40559.0,176823.0,135148.0,-41675.0,-0.236,1063.0,1118.0,56.0,5.2,-162.3,3265.1,37.3,-151.5,2999.2,34.3,-102.9412528,1895.0,26.6,-94.0,1484.0,20.8,{664DDA1F-7313-45D2-9239-EDF647AA676B},
88,91,30269,30269,35069.0,35220.0,252697.0,266670.0,13973.0,0.055,1678.0,1999.0,321.0,19.2,-101.3,939.2,11.9,-95.8,770.7,9.7,-74.67110103,583.0,8.1,-74.0,541.0,7.5,{2042429D-EC05-4AED-887A-74732713DAF8},
89,92,30318,30318,49736.0,49728.0,206843.0,240455.0,33612.0,0.163,1081.0,1218.0,137.0,12.7,-191.6,1786.0,28.0,-176.3,1664.1,26.1,-148.8274425,1333.0,22.2,-143.9,1150.0,19.1,{3F46A24D-6B59-4861-9A84-5F06EDC0BA19},
90,93,30363,30363,2680.0,3189.0,,,,,1330.0,1613.0,283.0,21.3,-31.0,177.5,35.4,-31.4,170.1,34.0,-30.04957167,148.0,31.7,-29.7,129.0,27.8,{76CC21D6-E4F2-4566-9C76-F0EAB3DB49E3},
91,94,30309,30309,21845.0,21928.0,222895.0,244206.0,21311.0,0.096,1523.0,1930.0,407.0,26.7,-155.4,887.7,17.7,-156.7,810.8,16.2,-143.0530955,697.0,14.2,-147.0,658.0,13.4,{828C68A9-1C29-4F35-B260-335D71D6D3B1},
92,95,30107,30107,12908.0,13872.0,188128.0,186925.0,-1203.0,-0.006,1269.0,1384.0,115.0,9.1,-24.5,394.8,13.0,-26.1,326.5,10.7,-18.34160693,258.0,9.2,-15.2,205.0,7.3,{3C7A4896-F70E-4C91-88F4-2C09A2B8C142},
93,96,30076,30076,42678.0,43656.0,236853.0,274304.0,37451.0,0.158,1546.0,1903.0,357.0,23.1,-89.3,821.7,10.0,-90.6,769.6,9.4,-76.64321177,586.0,7.5,-61.0,432.0,5.5,{683119CE-C1BE-44E4-B025-F97A1875C8E4},
94,97,30062,30062,62136.0,65206.0,242846.0,264710.0,21864.0,0.09,1534.0,1844.0,310.0,20.2,-124.0,1234.7,8.4,-125.9,1206.1,8.2,-103.7216967,904.0,6.3,-89.3,692.0,4.8,{F9642F28-AE92-453D-8438-E4EC0CFED91C},
95,98,30060,30060,34562.0,37334.0,155241.0,145877.0,-9364.0,-0.06,1006.0,1164.0,158.0,15.7,-69.3,1162.4,29.1,-63.9,1104.8,27.7,-52.6663242,806.0,22.9,-49.9,618.0,17.6,{37E9AA42-345E-4C5E-B789-9405CE026745},
